"# Study Name: 40 cycle data",,,,,,,,
"# Study Description: ",,,,,,,,
"# Study Comments: ",,,,,,,,
"# Created By: GUEST",,,,,,,,
"# Last Modified Date/Time: 05-13-2014 10:55:39 EDT",,,,,,,,
"# Number of Experiments in Study: 1",,,,,,,,
"# Instrument Type in the Study: QuantStudioﾙ 12K Flex Real-Time PCR System",,,,,,,,
"# Barcode: LJE04 ",,,,,,,,
"# Normalization Method: Endogenous Control = [U6 rRNA_001973  RNU44_001094  RNU48_001006]",,,,,,,,
"# Reference Sample: KW1_1B",,,,,,,,
"# Max CT: 40.0",,,,,,,,
"# Default CRT Analysis Start Cycle: 1.0",,,,,,,,
"# Efficiency:",,,,,,,,
"# RQ Min/Max Calculation: Confidence Level = 95.0% ",,,,,,,,
,,,,,,,,
"Experiment Name","Barcode","Well","Cycle Number","Sample Name","Target Name","Rn","dRn","Omit"
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",16,"KW3_1A","hsa-let-7a_000377",1355.649,124.193,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",17,"KW3_1A","hsa-let-7a_000377",1422.148,192.583,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",18,"KW3_1A","hsa-let-7a_000377",1522.496,287.214,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",19,"KW3_1A","hsa-let-7a_000377",1613.677,381.679,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",20,"KW3_1A","hsa-let-7a_000377",1750.479,510.312,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",21,"KW3_1A","hsa-let-7a_000377",1863.228,625.406,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",22,"KW3_1A","hsa-let-7a_000377",1996.525,754.396,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",23,"KW3_1A","hsa-let-7a_000377",2122.663,876.896,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",24,"KW3_1A","hsa-let-7a_000377",2221.214,976.486,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",25,"KW3_1A","hsa-let-7a_000377",2322.58,1074.583,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",26,"KW3_1A","hsa-let-7a_000377",2410.346,1163.271,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",27,"KW3_1A","hsa-let-7a_000377",2513.629,1259.95,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",28,"KW3_1A","hsa-let-7a_000377",2579.769,1327.84,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",29,"KW3_1A","hsa-let-7a_000377",2646.897,1391.198,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",30,"KW3_1A","hsa-let-7a_000377",2693.146,1439.956,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",31,"KW3_1A","hsa-let-7a_000377",2764.887,1507.186,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",32,"KW3_1A","hsa-let-7a_000377",2832.195,1568.587,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",33,"KW3_1A","hsa-let-7a_000377",2849.988,1591.176,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",34,"KW3_1A","hsa-let-7a_000377",2889.498,1628.757,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",35,"KW3_1A","hsa-let-7a_000377",2948.868,1680.495,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",36,"KW3_1A","hsa-let-7a_000377",2964.264,1699.613,
